Film Title,WW210,Days to HQ,WW Box,Box * Days to HQ, Has CAM? , A , Animation , Adventure , Comedy , Drama , Romantic Comedy , Horror/Thriller , PG-13 , R 
Iron Man Three,75258170,118,1215,143422,1,1,0,0,0,0,0,0,1,0
Frozen,51900680,40,1276,51059,1,1,1,0,0,0,0,0,0,0
The Amazing Spider-Man,34633788,112,758,84888,1,1,0,1,0,0,0,0,1,0
Monsters University,26385503,110,744,81792,1,1,1,0,0,0,0,0,0,0
Brave,18083413,133,539,71685,1,1,1,0,0,0,0,0,0,0
Gravity,48089783,66,723,47731,1,1,0,0,0,0,0,1,1,0
Thor: The Dark World,54758034,92,645,59303,1,1,0,0,0,0,0,0,1,0
Life of Pi,54133124,57,609,34714,1,0,0,0,0,1,0,0,0,0
The Lego Movie,25833954,82,469,38471,1,1,1,0,0,0,0,0,0,0
Star Trek Into Darkness,38624635,102,467,47673,1,1,0,1,0,0,0,0,1,0
Wreck-It Ralph,20903382,92,471,43353,1,1,1,0,0,0,0,0,0,0
Hotel Transylvania,17846496,110,358,39421,1,1,1,0,0,0,0,0,0,0
Furious 6,75208762,47,789,37068,1,1,0,0,0,0,0,0,1,0
Pacific Rim,49170034,82,411,33702,1,1,0,0,0,0,0,0,1,0
Planes,17263978,82,239,19619,1,1,1,0,0,0,0,0,0,0
A Good Day to Die Hard,38451423,95,305,28942,1,1,0,0,0,0,0,0,0,1
Oblivion,53190366,101,286,28903,1,1,0,0,0,0,0,1,1,0
Cloudy with a Chance of Meatballs 2,15569255,102,274,27981,1,1,1,0,0,0,0,0,0,0
Turbo,24900879,96,283,27127,1,1,1,0,0,0,0,0,0,0
After Earth,37430914,109,244,26579,1,1,0,0,0,0,0,0,1,0
The Lone Ranger,36222874,91,261,23706,1,1,0,1,0,0,0,0,1,0
Epic,25737375,82,268,22011,1,1,1,0,0,0,0,0,0,0
Robocop,53216267,88,243,21357,1,1,0,0,0,0,0,0,1,0
White House Down,31034349,92,205,18894,1,1,0,0,0,0,0,0,1,0
12 Years a Slave,23606311,53,188,9950,1,0,0,0,0,1,0,0,0,1
Identity Thief,15762336,21,174,3653,1,0,0,0,1,0,0,0,0,1
Percy Jackson: Sea of Monsters,25235293,86,200,17187,1,0,0,1,0,0,0,0,0,0
Red 2,30009461,102,148,15104,1,0,0,0,1,0,0,0,1,0
Elysium,37024935,58,286,16596,1,1,0,0,0,0,0,1,0,1
The Secret Life of Walter Mitty,25865225,20,188,3763,1,0,0,0,1,0,0,0,0,0
Lo imposible,9477385,85,180,15323,1,0,0,0,0,1,0,0,1,0
Jack Ryan: Shadow Recruit,18305916,111,136,15042,1,1,0,0,0,0,0,0,1,0
47 Ronin,35346118,98,152,14875,1,0,0,0,0,0,0,0,1,0
Saving Mr. Banks,9600798,24,118,2829,0,0,0,0,0,1,0,0,1,0
The Muppets,3056208,87,165,14371,1,1,1,0,0,0,0,0,0,0
Anchorman 2: The Legend Continues,9546214,82,174,14239,1,1,0,0,1,0,0,0,1,0
X: First Class,16950270,36,354,12730,1,1,0,0,0,0,0,0,1,0
Escape Plan,34045972,89,137,12222,1,0,0,0,0,0,0,0,0,1
Warm Bodies,17847923,102,117,11932,1,0,0,0,0,0,1,0,1,0
Ride Along,14997365,13,154,2008,1,0,0,0,1,0,0,0,1,0
Parental Guidance,5544045,79,120,9462,1,1,0,0,1,0,0,0,0,0
Captain Phillips,26967519,50,219,10940,1,0,0,0,0,1,0,0,1,0
Jackass Presents: Bad Grandpa,14099326,72,152,10932,1,1,0,0,1,0,0,0,0,1
The Internship,19391462,116,93,10845,1,1,0,0,1,0,0,0,1,0
Lincoln,17039937,39,275,10736,1,0,0,0,0,1,0,0,1,0
Ender's Game,25095820,84,126,10545,1,1,0,0,0,0,0,1,1,0
2 Guns,25247787,77,132,10159,1,0,0,0,1,0,0,0,0,1
Riddick,30372437,53,98,5212,1,0,0,0,0,0,0,1,0,1
The Heat,19797600,44,230,10117,1,0,0,0,1,0,0,0,0,1
Les Mis̩rables,17272497,21,442,9278,0,0,0,0,0,1,0,0,1,0
Gangster Squad,24516976,21,105,2209,1,0,0,0,0,1,0,0,0,1
The Girl with the Dragon Tattoo,15203940,33,233,7676,1,0,0,0,0,0,0,1,0,1
The Book Thief,15768548,43,77,3293,0,0,0,0,0,1,0,0,1,0
The Counselor,12562920,95,71,6746,1,0,0,0,0,0,0,1,0,1
Prisoners,23369599,54,122,6595,1,1,0,0,0,0,0,0,0,1
In Time,16185591,36,174,6262,1,0,0,0,0,0,0,1,1,0
The Family,18911105,68,78,5332,1,0,0,0,1,0,0,0,0,1
Delivery Man,8727218,104,50,5198,1,0,0,0,1,0,0,0,1,0
